locus;location;strand;ATG;end
asl0338;Chr;comp;388727;388542
asl0339;Chr;comp;389018;388791
alr0340;Chr;direct;389300;390490
all0341;Chr;comp;391359;390487
all0342;Chr;comp;392746;391433
all0343;Chr;comp;393253;392789
alr0344;Chr;direct;393531;395921
all0345;Chr;comp;396802;395930
alr0346;Chr;direct;397530;398114
alr0347;Chr;direct;398131;398670
alr0348;Chr;direct;398957;400573
all0349;Chr;comp;401227;400811
all0350;Chr;comp;402141;401581
all0351;Chr;comp;403167;402259
all0352;Chr;comp;403920;403174
alr0353;Chr;direct;404006;404923
alr0354;Chr;direct;405302;410716
all0355;Chr;comp;411893;410925
alr0356;Chr;direct;412356;413216
alr0357;Chr;direct;413237;414868
asr0358;Chr;direct;414886;415137
alr0359;Chr;direct;415381;416127
all0360;Chr;comp;417359;416331
all0361;Chr;comp;418983;418474
all0362;Chr;comp;419549;419058
all0363;Chr;comp;420003;419644
all0364;Chr;comp;422826;420124
asr0365;Chr;direct;422997;423164
alr0366;Chr;direct;423175;426633
alr0367;Chr;direct;426657;430133
asr0368;Chr;direct;430287;430508
alr0369;Chr;direct;430925;432430
alr0370;Chr;direct;433506;434210
all0371;Chr;comp;435953;434685
all0372;Chr;comp;436539;435913
all0373;Chr;comp;437557;436553
all0374;Chr;comp;438891;437731
all0375;Chr;comp;439610;438969
all0376;Chr;comp;440152;439607
alr0377;Chr;direct;440620;441081
all0378;Chr;comp;442367;441159
alr0379;Chr;direct;442487;443245
all0380;Chr;comp;443648;443340
alr0381;Chr;direct;443723;444847
asr0382;Chr;direct;444955;445239
alr0383;Chr;direct;446871;447419
all0384;Chr;comp;449176;448247
all0385;Chr;comp;450206;449574
alr0386;Chr;direct;450699;452033
all0387;Chr;comp;453701;452145
all0388;Chr;comp;455045;454143
all0389;Chr;comp;455863;455042
all0390;Chr;comp;457753;456014
all0391;Chr;comp;459192;457996
all0392;Chr;comp;460472;459189
all0393;Chr;comp;461047;460466
all0394;Chr;comp;462939;461119
all0395;Chr;comp;464674;463058
all0396;Chr;comp;466155;464674
alr0397;Chr;direct;466625;469228
all0398;Chr;comp;469803;469420
asl0399;Chr;comp;470048;469800
all0400;Chr;comp;471059;470217
asl0401;Chr;comp;471582;471391
alr0402;Chr;direct;471952;472284
all0403;Chr;comp;472685;472356
all0404;Chr;comp;473017;472691
all0405;Chr;comp;475326;473248
all0406;Chr;comp;476902;475640
all0407;Chr;comp;477803;477036
all0408;Chr;comp;479365;478301
all0409;Chr;comp;480482;479388
all0410;Chr;comp;481724;480495
all0411;Chr;comp;482590;481778
all0412;Chr;comp;483600;482644
all0413;Chr;comp;484671;483799
all0414;Chr;comp;486823;484616
all0415;Chr;comp;488579;487182
all0416;Chr;comp;489969;488668
all0417;Chr;comp;491166;489982
all0418;Chr;comp;492165;491320
all0419;Chr;comp;493122;492211
all0420;Chr;comp;494213;493281
all0421;Chr;comp;495022;494249
all0422;Chr;comp;496292;495093
all0423;Chr;comp;497750;496392
all0424;Chr;comp;499095;497833
all0425;Chr;comp;500100;499108
all0426;Chr;comp;501198;500137
all0427;Chr;comp;503461;501572
alr0428;Chr;direct;504500;506413
alr0429;Chr;direct;506544;507374
alr0430;Chr;direct;507978;508844
asr0431;Chr;direct;509007;509249
all0432;Chr;comp;512093;509313
alr0433;Chr;direct;512707;513138
all0434;Chr;comp;513741;513409
all0435;Chr;comp;514127;513741
alr0436;Chr;direct;514358;515770
all0437;Chr;comp;516346;516041
all0438;Chr;comp;518649;516616
all0439;Chr;comp;519746;518988
alr0440;Chr;direct;519998;521683
all0441;Chr;comp;524256;521749
alr0442;Chr;direct;524483;524887
all0443;Chr;comp;526079;525207
alr0444;Chr;direct;526682;527059
alr0445;Chr;direct;527254;528816
alr0446;Chr;direct;528893;530164
alr0447;Chr;direct;530331;530996
asl0448;Chr;comp;531198;531013
asl0449;Chr;comp;531645;531523
all0450;Chr;comp;532221;531736
alr0451;Chr;direct;532806;534275
alr0452;Chr;direct;534272;535489
all0453;Chr;comp;537911;536187
all0454;Chr;comp;538945;537989
all0455;Chr;comp;539831;539127
all0456;Chr;comp;540460;539834
all0457;Chr;comp;543082;542435
all0458;Chr;comp;543930;543391
all0459;Chr;comp;544661;544302
asr0460;Chr;direct;545434;545679
asr0461;Chr;direct;545660;545950
all0462;Chr;comp;551614;546125
all0463;Chr;comp;552307;551768
all0464;Chr;comp;553847;552327
all0465;Chr;comp;554565;553873
all0466;Chr;comp;555555;554734
all0467;Chr;comp;556687;555635
all0468;Chr;comp;557561;556764
all0469;Chr;comp;560235;557578
all0470;Chr;comp;560650;560273
all0471;Chr;comp;561297;560680
alr0472;Chr;direct;562053;562592
all0473;Chr;comp;563570;562797
alr0474;Chr;direct;563847;565637
all0475;Chr;comp;566473;565700
all0476;Chr;comp;567409;566585
alr0477;Chr;direct;567782;568567
all0478;Chr;comp;573848;568722
all0479;Chr;comp;575155;573824
alr0480;Chr;direct;575338;576162
all0481;Chr;comp;576794;576231
asr0482;Chr;direct;577150;577344
alr0483;Chr;direct;577593;578954
alr0484;Chr;direct;579200;580126
asr0485;Chr;direct;580727;581005
alr0486;Chr;direct;581002;581670
alr0487;Chr;direct;582043;582639
alr0488;Chr;direct;582738;583550
alr0489;Chr;direct;583662;586343
alr0490;Chr;direct;586449;587126
asl0491;Chr;comp;587478;587221
all0492;Chr;comp;588186;587506
all0493;Chr;comp;590450;588267
asr0494;Chr;direct;590471;590647
all0495;Chr;comp;592066;590726
all0496;Chr;comp;592839;592111
all0497;Chr;comp;594049;593129
all0498;Chr;comp;595411;594224
alr0499;Chr;direct;595610;597223
asr0500;Chr;direct;597658;597834
alr0501;Chr;direct;597966;598376
alr0502;Chr;direct;598449;598904
asr0503;Chr;direct;598957;599157
alr0504;Chr;direct;599141;599608
asr0505;Chr;direct;599608;599784
alr0506;Chr;direct;599873;600457
alr0507;Chr;direct;600492;601676
alr0508;Chr;direct;601676;602239
alr0509;Chr;direct;602481;603005
alr0510;Chr;direct;603121;605130
alr0511;Chr;direct;605366;605962
alr0512;Chr;direct;605992;606798
all0513;Chr;comp;607351;606788
asl0514;Chr;comp;607714;607496
alr0515;Chr;direct;607888;608610
asr0516;Chr;direct;608845;609015
alr0517;Chr;direct;609201;610178
alr0518;Chr;direct;610600;610983
alr0519;Chr;direct;611123;611776
alr0520;Chr;direct;611773;612555
all0521;Chr;comp;613749;612610
alr0522;Chr;direct;614580;615518
alr0523;Chr;direct;616378;616896
alr0524;Chr;direct;616972;617460
alr0525;Chr;direct;617607;618443
alr0526;Chr;direct;618519;619280
alr0527;Chr;direct;619696;620217
alr0528;Chr;direct;620818;621339
alr0529;Chr;direct;621429;621920
alr0530;Chr;direct;622058;622918
asr0531;Chr;direct;623050;623292
alr0532;Chr;direct;623306;624136
alr0533;Chr;direct;624239;624841
alr0534;Chr;direct;624879;625718
alr0535;Chr;direct;625766;626509
alr0536;Chr;direct;626548;627261
alr0537;Chr;direct;627371;628132
all0538;Chr;comp;629105;628293
all0539;Chr;comp;629748;629110
alr0540;Chr;direct;629976;632966
alr0541;Chr;direct;632980;633462
all0542;Chr;comp;635329;633608
alr0543;Chr;direct;635773;636699
all0544;Chr;comp;637020;636694
alr0545;Chr;direct;637215;637829
alr0546;Chr;direct;637970;639349
alr0547;Chr;direct;639638;641680
alr0548;Chr;direct;641851;643134
alr0549;Chr;direct;643318;643719
asl0550;Chr;comp;644022;643804
asl0551;Chr;comp;644221;644033
alr0552;Chr;direct;644556;645125
alr0553;Chr;direct;645155;645667
alr0554;Chr;direct;645924;646316
alr0555;Chr;direct;646398;646952
alr0556;Chr;direct;647249;648469
alr0557;Chr;direct;648482;650272
alr0558;Chr;direct;650328;653369
alr0559;Chr;direct;653606;654184
asl0560;Chr;comp;654381;654181
asl0561;Chr;comp;654516;654391
all0562;Chr;comp;657062;654843
all0563;Chr;comp;657847;657224
alr0564;Chr;direct;658123;659316
all0565;Chr;comp;659951;659511
alr0566;Chr;direct;660534;661172
all0567;Chr;comp;662190;661198
alr0568;Chr;direct;662555;663622
all0569;Chr;comp;664023;663619
alr0570;Chr;direct;664184;664762
all0571;Chr;comp;665749;664868
asl0572;Chr;comp;666311;666084
alr0573;Chr;direct;666663;668573
all0574;Chr;comp;669749;668619
all0575;Chr;comp;670143;669829
alr0576;Chr;direct;670275;670598
alr0577;Chr;direct;670707;671204
all0578;Chr;comp;673923;671284
all0579;Chr;comp;674514;674056
all0580;Chr;comp;675519;674746
asr0581;Chr;direct;675943;676173
alr0582;Chr;direct;676349;677545
alr0583;Chr;direct;677653;679893
alr0584;Chr;direct;679928;681130
alr0585;Chr;direct;681153;682127
alr0586;Chr;direct;682169;683164
alr0587;Chr;direct;683166;684101
asl0588;Chr;comp;684637;684479
all0589;Chr;comp;685728;684721
alr0590;Chr;direct;685900;686505
all0591;Chr;comp;687272;686901
all0592;Chr;comp;689047;687329
alr0593;Chr;direct;689504;690595
all0594;Chr;comp;693298;690698
asl0595;Chr;comp;693659;693462
all0596;Chr;comp;694410;693751
asl0597;Chr;comp;694734;694477
alr0598;Chr;direct;695051;695746
alr0599;Chr;direct;696196;698103
alr0600;Chr;direct;698393;698881
all0601;Chr;comp;700069;698999
all0602;Chr;comp;701218;700280
all0603;Chr;comp;701766;701461
all0604;Chr;comp;702122;701763
all0605;Chr;comp;703479;702283
all0606;Chr;comp;704033;703623
alr0607;Chr;direct;704679;706289
alr0608;Chr;direct;706423;707745
alr0609;Chr;direct;707802;708641
alr0610;Chr;direct;708712;710685
alr0611;Chr;direct;710765;711598
alr0612;Chr;direct;711707;713947
alr0613;Chr;direct;714204;714671
alr0614;Chr;direct;714771;715232
all0615;Chr;comp;716369;715818
alr0616;Chr;direct;716601;717281
alr0617;Chr;direct;717353;717919
alr0618;Chr;direct;718010;718738
all0619;Chr;comp;719248;718745
all0620;Chr;comp;719649;719275
all0621;Chr;comp;720446;719661
alr0622;Chr;direct;720570;722213
all0623;Chr;comp;723694;722342
all0624;Chr;comp;725026;723731
all0625;Chr;comp;725878;725168
all0626;Chr;comp;727054;725963
alr0627;Chr;direct;727672;730395
asl0628;Chr;comp;730738;730457
asl0629;Chr;comp;730990;730745
all0630;Chr;comp;731373;730987
all0631;Chr;comp;731919;731527
all0632;Chr;comp;733046;732144
asl0633;Chr;comp;733213;733049
all0634;Chr;comp;733961;733440
all0635;Chr;comp;736518;734053
asr0636;Chr;direct;736855;737109
all0637;Chr;comp;738484;737168
all0638;Chr;comp;741102;738640
asl0639;Chr;comp;742042;741821
all0640;Chr;comp;743973;742333
all0641;Chr;comp;744499;744200
alr0642;Chr;direct;744780;746987
alr0643;Chr;direct;747211;747930
alr0644;Chr;direct;748097;748750
alr0645;Chr;direct;749082;749438
all0646;Chr;comp;750217;749516
alr0647;Chr;direct;750755;751351
all0648;Chr;comp;751904;751536
asr0649;Chr;direct;751964;752071
all0650;Chr;comp;753272;752319
alr0651;Chr;direct;753870;754394
alr0652;Chr;direct;754691;755761
alr0653;Chr;direct;756086;757402
asr0654;Chr;direct;757507;757704
alr0655;Chr;direct;757848;758441
alr0656;Chr;direct;758587;760725
alr0657;Chr;direct;761010;761945
alr0658;Chr;direct;762102;763487
all0659;Chr;comp;764045;763575
asl0660;Chr;comp;764196;764050
all0661;Chr;comp;765649;764231
asl0662;Chr;comp;766652;766473
alr0663;Chr;direct;767105;769003
all0664;Chr;comp;771861;769057
all0665;Chr;comp;773689;771779
all0666;Chr;comp;775349;774303
all0667;Chr;comp;776992;775547
alr0668;Chr;direct;777620;778216
alr0669;Chr;direct;778393;779280
asr0670;Chr;direct;780208;780402
alr0671;Chr;direct;780750;781547
alr0672;Chr;direct;781917;783218
asl0673;Chr;comp;783415;783290
asr0674;Chr;direct;783635;783760
all0675;Chr;comp;784233;783820
alr0677;Chr;direct;785653;787149
asl0678;Chr;comp;787252;787106
alr0679;Chr;direct;787330;788319
asr0680;Chr;direct;788689;788973
alr0681;Chr;direct;788970;789317
asr0682;Chr;direct;789688;789927
alr0683;Chr;direct;789914;790339
all0684;Chr;comp;792030;790480
alr0685;Chr;direct;792380;792952
all0686;Chr;comp;794568;793165
all0688;Chr;comp;796498;795536
asr0689;Chr;direct;796999;797265
asr0690;Chr;direct;797274;797498
alr0691;Chr;direct;797712;798701
alr0692;Chr;direct;798761;799237
alr0693;Chr;direct;799264;800436
alr0694;Chr;direct;800536;802893
asr0695;Chr;direct;803006;803254
alr0696;Chr;direct;803285;804436
asr0697;Chr;direct;804490;804705
alr0698;Chr;direct;804890;805993
alr0699;Chr;direct;806012;806353
alr0700;Chr;direct;806344;807189
asr0701;Chr;direct;807290;807448
alr0702;Chr;direct;807721;809010
all0703;Chr;comp;809473;809102
alr0704;Chr;direct;809775;811856
asr0705;Chr;direct;811838;811996
all0706;Chr;comp;812985;811999
all0707;Chr;comp;814420;813020
all0708;Chr;comp;815142;814582
alr0709;Chr;direct;815625;821015
alr0710;Chr;direct;821088;826487
all0711;Chr;comp;828683;826761
all0712;Chr;comp;829595;828696
all0713;Chr;comp;832168;829874
all0714;Chr;comp;832865;832518
asl0715;Chr;comp;833870;833700
asl0716;Chr;comp;834250;834089
alr0717;Chr;direct;834368;835045
alr0718;Chr;direct;835215;837044
alr0719;Chr;direct;837144;838325
alr0720;Chr;direct;838429;839139
all0721;Chr;comp;840372;839254
alr0722;Chr;direct;840515;841435
all0723;Chr;comp;842553;841462
asl0724;Chr;comp;842796;842575
alr0725;Chr;direct;842987;843433
all0726;Chr;comp;844993;843419
all0727;Chr;comp;846179;845403
alr0728;Chr;direct;846315;846992
all0729;Chr;comp;851996;847059
alr0730;Chr;direct;852308;853120
alr0731;Chr;direct;853219;853842
all0732;Chr;comp;855181;854219
alr0733;Chr;direct;855482;855925
alr0734;Chr;direct;855972;856592
alr0735;Chr;direct;856652;857254
all0736;Chr;comp;857969;857316
all0737;Chr;comp;859490;858039
alr0738;Chr;direct;859612;860538
alr0739;Chr;direct;861217;861798
alr0740;Chr;direct;861842;863368
alr0741;Chr;direct;863575;863883
asr0742;Chr;direct;864014;864202
all0743;Chr;comp;865951;864311
alr0744;Chr;direct;866400;867884
all0745;Chr;comp;868893;868012
all0746;Chr;comp;869460;868981
all0747;Chr;comp;870676;869618
all0748;Chr;comp;871410;870940
asl0749;Chr;comp;871692;871423
alr0750;Chr;direct;871942;872484
alr0751;Chr;direct;872575;873069
alr0752;Chr;direct;873380;875014
all0753;Chr;comp;875556;875161
all0754;Chr;comp;875936;875553
asr0755;Chr;direct;875994;876269
asr0756;Chr;direct;876253;876519
asr0757;Chr;direct;876673;876882
alr0758;Chr;direct;876869;877210
all0759;Chr;comp;881312;877323
alr0760;Chr;direct;881707;883038
alr0761;Chr;direct;883149;883646
alr0762;Chr;direct;883817;884533
alr0763;Chr;direct;884648;885238
alr0764;Chr;direct;885335;885880
alr0765;Chr;direct;885959;886573
alr0766;Chr;direct;886799;888250
all0767;Chr;comp;888887;888330
all0768;Chr;comp;889896;889009
all0769;Chr;comp;892725;889975
all0770;Chr;comp;893488;893012
all0771;Chr;comp;894780;893746
all0772;Chr;comp;896276;895659
asr0773;Chr;direct;896671;896958
alr0774;Chr;direct;897280;897666
all0775;Chr;comp;899588;897675
alr0776;Chr;direct;899704;900894
all0777;Chr;comp;901694;901197
all0778;Chr;comp;902951;901827
asl0779;Chr;comp;903154;902951
asr0780;Chr;direct;903362;903520
all0781;Chr;comp;904962;903538
alr0782;Chr;direct;905282;905989
all0783;Chr;comp;907198;906269
alr0784;Chr;direct;907716;908030
asr0785;Chr;direct;908214;908396
alr0786;Chr;direct;908486;909520
alr0787;Chr;direct;909647;910228
all0788;Chr;comp;911105;910383
alr0789;Chr;direct;911188;912072
alr0790;Chr;direct;912250;913305
alr0791;Chr;direct;913844;916825
all0792;Chr;comp;917404;916961
asl0793;Chr;comp;917612;917424
all0794;Chr;comp;919367;917733
asl0795;Chr;comp;919643;919389
all0796;Chr;comp;921741;919942
all0797;Chr;comp;922955;921867
